ID,position_mm,Section depth_mm,strat_depth_cm,plot_midpoint cm,depth,min_age,max_age,median_age,mean_age_SH20,sample surface,validity,kcps,MSE,inc+coh,inc_coh,coh_inc,TSN SUM,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Cu,Zn,Ga,Ge,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Pd,Ag,Cd,In,Sn,Sb,I,Cs,Ba,La,Pr,Nd,Sm,Tb,Ho,Er,Tm,Lu,Hf,Os,At,Ac,Th,U,Cr inc,Cr coh,SUM,LnSi_Ti,LnCa_Ti,LnFe_Mn,LnSr_Ti,LnFe_Ti
MAT1A_1,1437.1,2,0.2,0.3,0.3,-59.9,-44.8,-52.1,-52.1,6.84,1,6453.585792,1.32,8039.6,0.491175843,2.035930744,4.550251256,0.003963676,0.081050347,1.117210009,0.007653996,0.020775131,0.01995506,0.724532696,4.844569217,17.11119069,0.121233824,12.15919218,0.295088868,1.17611844,32.78438694,0.112896436,0.131894747,0.126564285,0.028019091,0.04537726,0.164970942,0.677378616,0.120140396,0.413589123,0.057815003,0.320511068,1.603922126,0.011480993,0.060001859,0.056038183,0.181099004,0.031436054,0.057404967,0.165654335,0.028292448,0.676421866,0.287024837,0.081733739,0.946635249,0.203377599,0.03362291,0.206657883,0.083373881,0.26228603,0.081870418,0.100868729,0.024602129,0.01544467,0.044010475,0.062052036,0.051801149,7.238903073,14.73790532,100,-2.921333984,0.444659763,3.206680552,-2.146693769,1.197856577
MAT1A_21,1439.2,4,0.4,0.5,0.5,-58.2,-43.8,-50.8,-50.8,6.81,1,7498.783277,1.41,9430.85,0.454323253,2.201075981,4.655227259,0.004669411,0.071066163,1.014173372,0.003188866,0.026308147,0.011844361,0.705081117,4.74719693,17.10473717,0.118899158,12.32530992,0.276861928,1.248213381,33.60233698,0.122885241,0.113090866,0.122429688,0.027560916,0.029952566,0.130515742,0.615337308,0.077443896,0.376400112,0.046010785,0.259550939,1.717773944,0.013552682,0.061955117,0.067421745,0.230737255,0.012641577,0.076418903,0.169921019,0.034849753,0.722164329,0.263878686,0.081999419,0.986612456,0.176184863,0.025852595,0.141676774,0.057285705,0.175957087,0.060930124,0.099652072,0.013552682,0.027560916,0.034963641,0.041910814,0.042252478,6.710627466,14.77060093,100,-2.54338212,0.418196872,2.244480326,-2.369612845,1.173034393
MAT1A_41,1441.2,6,0.6,0.7,0.7,-56.5,-42.9,-49.5,-49.4,6.87,1,7727.396729,1.37,9455.2,0.494668785,2.021554686,4.765943608,0.005436839,0.064576332,0.923707835,0.00809978,0.024743165,0.017752943,0.765040904,4.991461944,16.20499768,0.140248253,12.1754124,0.272285769,1.106119329,34.68858563,0.150789063,0.152786269,0.101413689,0.018751546,0.030069048,0.138251047,0.588621029,0.089097585,0.365377766,0.038279784,0.264296945,2.395648754,0.010096987,0.052925962,0.077558171,0.157446417,0.016643384,0.07733626,0.123382957,0.028515665,0.582629411,0.234893632,0.061691478,0.808313703,0.212036718,0,0.180969067,0.103632807,0.211260026,0.089319496,0.089541408,0.031178607,0.023411694,0.040166034,0.03461824,0.048376771,6.94417476,14.03802902,100,-2.391964937,0.35332361,4.28635424,-2.416657549,1.061886602
MAT1A_61,1443.2,8,0.8,0.9,0.9,-54.7,-41.9,-48.1,-48.1,6.88,1,7886.509009,1.67,9400.4,0.49145228,2.034785556,4.932098634,0.007009794,0.058990115,0.944381057,0.005715678,0.021676441,0.011431357,0.660969681,4.991189228,16.45015389,0.129735116,12.26002239,0.303146643,0.85249883,35.25268691,0.130813546,0.135558637,0.089725367,0.021892127,0.036882302,0.130490017,0.55884237,0.097813591,0.345313252,0.050470519,0.273705507,2.491065208,0.016931349,0.076999894,0.022431342,0.164352716,0.013588217,0.073441076,0.153784103,0.04799013,0.650616754,0.262058464,0.063303835,0.907067382,0.203499721,0,0.184842884,0.059205801,0.21104873,0.049392089,0.094470459,0.022862714,0.021784284,0.045941113,0.041303865,0.025558788,6.680981026,13.59436369,100,-2.433072474,0.388387949,0,-2.889470451,1.002901267
MAT1A_81,1445.2,10,1,1.1,1.1,-53,-40.9,-46.8,-46.8,6.89,1,7764.119702,1.45,9135.3,0.505959348,1.976443373,4.978287522,0.001759087,0.058159798,0.90439035,0.009345147,0.011324119,0.007146289,0.850958097,4.739968534,17.0974413,0.106314791,12.29480531,0.315865971,1.134171025,34.53922378,0.127313886,0.13731869,0.104445761,0.017370979,0.026276355,0.169531962,0.602047357,0.099718216,0.363691135,0.048924593,0.279584812,2.140698335,0.011214176,0.032323215,0.069044145,0.249900227,0.01209372,0.121486912,0.15205104,0.031883443,0.660207154,0.247261597,0.093341528,0.968157236,0.177997566,0.070473403,0.183384768,0.089823355,0.225602844,0.073112033,0.093121642,0.019240009,0.024627211,0.037930303,0.044087106,0.036610988,6.748735382,13.33849332,100,-2.357650002,0.394618718,2.988100889,-2.712684256,1.018524253
MAT1A_101,1447.2,12,1.2,1.3,1.3,-51.2,-40,-45.4,-45.4,6.89,1,7633.861768,1.81,9196.1,0.471305377,2.121766583,4.802361871,0.004302244,0.057967077,0.969023843,0.007132668,0.021171569,0.01075561,0.772252791,4.837080814,17.49960374,0.106197496,12.53492743,0.226999977,1.136584924,33.57652333,0.134841383,0.135633902,0.116839889,0.031247877,0.042003487,0.135520685,0.720512646,0.094309716,0.37927677,0.036795508,0.305685755,1.453818808,0.018001494,0.080044381,0.046645382,0.17390123,0.021171569,0.094422933,0.145936644,0.052306229,0.717455789,0.28066481,0.13903041,0.988157507,0.205149107,0.006906234,0.200507212,0.069401988,0.233000476,0.062835405,0.102348119,0.024794511,0.035436904,0.05004189,0.041777053,0.039965582,6.670289609,14.15279759,100,-2.315876649,0.380683695,4.78842668,-2.881378269,1.003078163
MAT1A_121,1449.2,14,1.4,1.5,1.5,-49.5,-39,-44.1,-44.1,6.88,1,7640.431153,1.45,9077.4,0.464888286,2.151054413,4.882438804,0.005076732,0.065659067,0.946641291,0.003948569,0.019291582,0.00755869,0.719316514,4.836997418,17.34764445,0.10514476,12.31615179,0.243683135,0.973491562,34.02786787,0.143163842,0.124097893,0.105821658,0.039034428,0.031137289,0.126015769,0.758802207,0.105257576,0.38402657,0.021886356,0.256205741,1.995494118,0.025834925,0.120713405,0.054038992,0.202392382,0.027414353,0.092847787,0.170691011,0.044336793,0.753387026,0.278204913,0.092734971,0.981501517,0.173060153,0.013199503,0.167419339,0.09307342,0.217961026,0.081002079,0.082130242,0.008235587,0.010830362,0.028316883,0.041177937,0.048510995,6.499909183,13.98165833,100,-2.295724003,0.353205075,4.625381227,-3.041514917,0.968680671
MAT1A_141,1451.2,16,1.6,1.7,1.7,-47.8,-38,-42.7,-42.7,6.87,1,7474.294653,1.59,8851.1,0.424907835,2.353451542,4.865457401,0.004992494,0.062696434,1.03716157,0.012190973,0.031464322,0.008127316,0.76803132,4.714075233,17.93199295,0.134100707,12.21814179,0.264137756,1.035768316,33.35728956,0.112853582,0.129688735,0.097759996,0.023569215,0.027284559,0.147917143,0.802862673,0.11691724,0.400444448,0.028677813,0.28793918,2.155828504,0.026704037,0.119587643,0.040752682,0.188902034,0.025426887,0.123070778,0.113666313,0.048531684,0.664930517,0.259957993,0.05305976,0.936847275,0.192617379,0.003367031,0.145943367,0.038198383,0.215141653,0.060374344,0.111228119,0.008359525,0.016022422,0.040520473,0.052943656,0.048879998,6.128924768,14.42412745,100,-2.31436574,0.381131995,2.672108771,-2.956843521,0.942290452
MAT1A_161,1453.2,18,1.8,1.9,1.9,-46.1,-37,-41.4,-41.4,6.85,1,7188.323876,1.49,8557,0.44367118,2.253921475,4.794454832,0.000853114,0.074830322,1.038118371,0.008409271,0.024130951,0.016574794,0.984494036,4.64606111,17.6640996,0.156485559,12.24304498,0.284940215,0.973281675,32.96482853,0.101398742,0.141129499,0.139910764,0.023155963,0.06008363,0.121751615,0.799733828,0.100180007,0.385851463,0.036927667,0.289815154,2.056858857,0.006581168,0.015965427,0.095061321,0.145273198,0.02376533,0.073611587,0.150391884,0.066421051,0.749400078,0.279699655,0.094451953,0.98985647,0.253131235,0,0.190122641,0.064958569,0.263490481,0.072270978,0.115414193,0.020718493,0.023155963,0.038024528,0.052527473,0.02132786,6.409936102,14.44749264,100,-2.403483614,0.392934223,3.064588384,-2.928874463,0.950497706
MAT1A_181,1455.2,20,2,2.1,2.1,-44.3,-36,-40.1,-40,6.8,1,7579.969411,1.3,9319.85,0.479141703,2.087065253,4.663342221,0.003911494,0.067070624,1.094643208,0.006212373,0.026575153,0.010008824,0.679564628,4.67331544,18.36895286,0.099973195,12.79093178,0.302335507,0.86708627,32.37290807,0.12137137,0.139663358,0.10273425,0.03405301,0.059247636,0.132875765,0.803582009,0.109866975,0.39816712,0.052920218,0.304981518,1.72600442,0.017946857,0.078459976,0.049929075,0.190282698,0.007247769,0.109291755,0.132300545,0.037044153,0.583042751,0.211450785,0.029911428,0.77482102,0.197185335,0.003221231,0.162672149,0.061548515,0.202132225,0.064309569,0.098477623,0.018061901,0.024849494,0.045672449,0.069026372,0.038309636,6.946353854,14.49749377,100,-2.332123105,0.371921941,2.527023044,-2.98539092,1.005116124
